property,count
Difficulty,1907
Date,1413
Company,1242
Status,982
Question Link,805
Category,767
Type,689
Sub Category,661
Duration,630
Course,630
Module,630
Pattern Group,450
Created,210
difficulty,150
Sub category,78
Document Type,71
Parent SOP,71
Owner,71
Next Review,71
Last Reviewed,71
Project,63
Topic,57
category,51
company,51
date,51
title,51
Task left,41
Remaining days,41
Preview,40
Area,37
Timing,36
lab,32
Key Functions,30
Tasks,18
Read,14
Column 3,13
copilot-command-model-key,12
copilot-command-context-menu-order,12
copilot-command-last-used,12
copilot-command-slash-enabled,12
copilot-command-context-menu-enabled,12
#,12
Theme Attribute,12
Link,12
tags,10
Regular,9
Meal Type,9
Pattern,8
URL,8
Reading Progress,8
Due Date,8
Exercises Relation,7
Companies,7
Related to Recipes,7
Urgency,6
Starting Date,6
Who,6
Stage,5
green,5
#1B5E20,5
Example,5
Title,5
Use case,5
Functions,4
Yearly Goal,4
Main Function,4
Device representation,3
Breakpoint,3
Text,3
Reminder,3
Day,3
Cover,2
day-rating,2
Area Relation,2
"A cancelable unit of work, such as one created with the launch() function.",2
Department,2
Files & media,1
Store,1
Status 3,1
Status 4,1
Status 5,1
Start Date,1
Description,1
Ingredients,1
Expected Finish date,1
Status 2,1
ViewModel responsibilities,1
Column 4,1
Pages Read,1
